SHIV JI 						
						
MANTRA 						
						
ASHTAKAM						
	कृष्ण अष्टकम	भजेव्रजैकमण्डनंसमस्तपापखण्डनं, स्वभक्तचित्तरञ्जनंसदैव नन्दनन्दनम्।	https://youtu.be/PvdeDNeCiQc?si=T6FiME_l0gc5pd7S			
						
STUTI						
	-	बाल मुकुंद स्तुति	https://youtu.be/0l0Kf_JdzGA?si=sub1fmI9QPj7Pvfy			
	-	राधा-कृष्ण युगल स्तुति	https://youtu.be/7VCiJ2N-1EA?si=Twq1UgJi0jETyqeg			
	-	श्री द्वारकाधीशजी की शयन स्तुति	https://youtu.be/5FU1Zb4oXc8?si=iLU2g9Q85rMkbpD_			
	-	कुन्ती स्तुति 	https://youtu.be/Wc3Ng3y4KL0?si=Udob2a9WMS6kOpua			
						
AARTI						
	-	आरती कुंजबिहारी की	https://youtu.be/EMO1AT1UQf0?si=YEPhm4K955xBp6RB			
	-	ॐ जय श्री कृष्ण हरे	https://youtu.be/NoX2I_mdzA8?si=83tsDkr6saVzcOu3			
	-	आरती श्री बांके बिहारी तेरी आरती गाऊं	https://youtu.be/6LO2PRgbutc?si=yww6-9PsBDlf4jy1			
	-	जय कान्हा काला, प्रभु जय कान्हा काला	https://youtu.be/t_ULrM1Ei6k?si=1ZDLM8HZvDtov936			
	-	आरती श्री बाल कृष्ण जी की	https://youtu.be/xlaAaxz_tpQ?si=2ky0i3tyEWSaLvi0			
	-	आरती जुगल किशोर की	https://youtu.be/6em96KXH2uY?si=3lnyN7ceeQdMOk9s			
	-	जय जगदीश हरे 	https://youtu.be/3ucCEjXS9n8?si=xmxtRMfp2MqjYvJP			
	-	 द्वारकाधीश आरती	https://youtu.be/Eadz0b0AK4M?si=PDjr0UDP8HdWcMPs			
						
SHLOKAS						
	-	वसुदेवसुतं देवं कंसचाणूरमर्दनम्। देवकीपरमानन्दं कृष्णं वन्दे जगद्गुरुम्॥	https://youtu.be/DdnIrdIyXPk?si=J0UsLQg_mLhBHqx8			
	-	मूकं करोति वाचालं पंगुं लंघयते गिरिम्। यत्कृपा तमहं वन्दे परमानन्द माधवम्॥	https://youtu.be/AkCYiUsdArw?si=jLgaTztsiNDDIvg5			
	-	यदा यदा ही धर्मस्य ग्लानिर्भवति भारत। अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम्॥	https://youtu.be/1AOgbhmP0ig?si=HztCRx46d8XXa16m			
	-	कर्मण्येवाधिकारस्ते मा फलेषु कदाचन। मा कर्मफलहेतुर्भूर्मा ते सङ्गोऽस्त्वकर्मणि॥	https://youtu.be/m0VD0vSXNXQ?si=rYvcj8atb4ReJtxk			
	-	सर्वधर्मान्परित्यज्य मामेकं शरणं व्रज। अहं त्वां सर्वपापेभ्यो मोक्षयिष्यामि मा शुचः॥	https://youtu.be/iNgFM6NKDxQ?si=HeemCWcs6L3oteQQ			
	-	हे कृष्ण करुणा सिन्धु दीन बन्धु जगत पते। गोपेश गोपिका कान्त राधा कान्त नमोस्तुते॥	https://youtu.be/k6oKjApcd8k?si=iALtB1Cbee031oOL			
						
BHAJAN						
	-	अच्युतम केशवम कृष्ण दामोदरम	https://youtu.be/3yczGKnskts?si=kXnjK3iThd_asoFy			
	-	सांवली सूरत पे मोहन दिल दीवाना हो गया	https://youtu.be/yaw7T0GnNr0?si=h1dYb9144M_yWkUP			
	-	छोटी छोटी गईया छोटे छोटे ग्वाल	https://youtu.be/XzqJUoSDHZU?si=8-LAQkUg8tq7ov6T			
	-	श्याम तेरी बंसी पुकारे राधा नाम	https://youtu.be/XJqKbDxAa3U?si=8QX2YAec4EyoDiPP			
	-	यशमति मैया से बोले नंदलाला	https://youtu.be/yWTN6bsDWN4?si=Lzw6_QbV5g85uOt9			
	-	कन्हैया ले चल परली पार	https://youtu.be/cdc_bgVMkOs?si=iecRdyTDMAfElETW			
	-	नंद के आनंद भयो जय कन्हैया लाल की	https://youtu.be/rSKgqcv-eoc?si=ncBCgt4hMLfctP-G			
	-	बड़ी देर भई नन्दलाला	https://youtu.be/dheA6Pqjtm4?si=RiRbLmj8Bev2rpIx			
	-	मीठे रस से भरयोड़ी राधारानी लागे	https://youtu.be/SMBeENVIFjk?si=WUZ0mVEySHXROaQ2			
						
KATHA 						
		श्री कृष्ण जन्म कथा:	https://youtu.be/DCkMeVhmiC4?si=jcdhcguIvw6rcsQE			
		कालिया नाग मर्दन	https://youtu.be/AB2sbXuL9kQ?si=MElc9dj-urTPQgvo			
		गोवर्धन जी कथा	https://youtu.be/mmVbmowFswQ?si=pZE5fw0QkulqRM2W			
		माखन चोरी लीला	https://youtu.be/-AXtzS1ytAc?si=5FAkilAIp3wx-dXp			
		श्रीकृष्ण ने किया कंस का वध	https://youtu.be/adxlvgEH10Y?si=REKtFgT6xzkRzPjN			
		सुदामा चरित्र	https://youtu.be/U2Eoov4alUA?si=ac_jo8SuW3a-_23H			
		द्रोपदी चीर हरण एक दर्दनाक सत्य कहानी	https://youtu.be/-fUdc_XQ_r8?si=KKo6QkS23XZzJqmh			
		नरकासुर वध कथा...	https://youtu.be/lnoXCvbRetI?si=VVTxM9JEQj9a8_Y7			
						
						
DURJA JI 						
						
MANTRA 						
	बीज मंत्र	ॐ दुं दुर्गायै नमः	https://youtu.be/jB4aaP2X7S4?si=fNw_s_3Ep9aH-uJZ			
	नवार्ण मंत्र	ॐ ऐं ह्रीं क्लीं चामुण्डायै विच्चे	https://youtu.be/cdlS1XC3Gus?si=k-Ox-2oKGYu1DiOb			
	-	सर्वमंगल मांगल्ये शिवे सर्वार्थ साधिके। शरण्ये त्र्यम्बके गौरी नारायणि नमोऽस्तुते॥	https://youtu.be/Yof1Vrh5TK0?si=s3diaEG-5Tn4r_2c			
	-	ॐ ह्रीं दुं दुर्गायै नमः	https://youtu.be/GHBynIok2Lo?si=uHYmAAtpv22yQ64n			
	-	या देवी सर्वभूतेषु शक्ति-रूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥	https://youtu.be/hiBxKwtn08Q?si=2-hlooiVaBcLrIbb			
	सौभाग्य प्राप्ति हेतु	देहि सौभाग्यमारोग्यं देहि मे परमं सुखम्। रूपं देहि जयं देहि यशो देहि द्विषो जहि॥	https://youtu.be/OKRVaXU01kI?si=3YMdFbLtHjcGJ4sE			
	-	शरणागत दीनार्त परित्राण परायणे। सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तुते॥	https://youtu.be/O0dGIsqbMsw?si=shotKSeK8r1k9C7N			
	-	ॐ जयन्ती मङ्गला काली भद्रकाली कपालिनी। दुर्गा क्षमा शिवा धात्री स्वाहा स्वधा नमोऽस्तुते॥	https://youtu.be/r66ySZ7iipM?si=FM_yp5XcLh9cQ4q0			
	-	सृष्टिस्थितिविनाशानां शक्तिभूते सनातनि। गुणाश्रये गुणमये नारायणि नमोऽस्तुते॥	https://youtu.be/BmoR0Wdw62Y?si=XrxETRzByga49y4q			
	दुर्गा गायत्री	ॐ गिरिजायै विद्महे शिवप्रियायै धीमहि तन्नो दुर्गा प्रचोदयात्॥	https://youtu.be/01mE3zDTifE?si=SoXuQjej3MBXv8AX			
						
STOTRAM						
	दुर्गा सप्तशती:	सबसे महान ग्रंथ, जिसमें 700 श्लोक हैं	https://youtu.be/Cn_MBUfZSQo?si=RyVPFTFe6tGrNzAX			
	श्री अर्गला स्तोत्रम	जयन्ती मङ्गला काली...	https://youtu.be/YD0eXOX6gbo?si=imwcbkJIn2dnyT97			
	कीलक स्तोत्रम	-	https://youtu.be/5hPQUvaahhg?si=cqtLDH7VLQkac6QA			
	सिद्ध कुंजिका स्तोत्र:	श्रृणु देवि प्रवक्ष्यामि कुंजिकास्तोत्रमुत्तमम्	https://youtu.be/m8koxlMwZBQ?si=mh01vb9TnBQKXSA6			
	-	येन मन्त्रप्रभावेण चण्डिजाप: शुभो भवेत्				
	देवी अथर्वशीर्ष	ॐ सर्वे वै देवा देवीमुपतस्थुः कासि त्वं महादेवीति ॥ १॥	https://youtu.be/edDTogeyCbI?si=AOTg_gvIfbq5CZxC			
	दुर्गा अष्टोत्तर शतनाम स्तोत्र (108 नाम)	शतनाम प्रवक्ष्यामि शृणुष्व कमलानने।	https://youtu.be/sAmQN4pox2I?si=J09EISlVTH8pxduh			
		यस्य प्रसादमात्रेण दुर्गा प्रीता भवेत्सती॥				
	महिषासुरमर्दिनी स्तोत्र	अयिगिरिनन्दिनि नन्दितमेदिनि विश्वविनोदिनि नन्दनुते गिरिवरविन्ध्य-शिरोधिनिवासिनि विष्णुविलासिनि जिष्णुनुते।	https://youtu.be/4CKpFcQdJXk?si=2OkdCoCBxDs78Tcv			
	देव्यपराधक्षमापन स्तोत्र	न मत्रं नो यन्त्रं तदपि च न जाने स्तुतिमहो न चाह्वानं ध्यानं तदपि च न जाने स्तुतिकथाः ।	https://youtu.be/bHVtLb9ulLI?si=QSFicf7SbPqwDAj0			
	दुर्गा कवच	ॐ नमश्चण्डिकायै। ॐ यद्गुह्यं परमं लोके सर्वरक्षाकरं नृणाम्।	https://youtu.be/mKvxMv3XrWA?si=EvZPdf6e3LLIrBmF			
						
CHALISA						
	-	श्री दुर्गा चालीसा	https://youtu.be/fsMzgFMMGxA?si=vMcngDgu3vYUf4te			
						
ASHTAKAM						
	श्री दुर्गा अष्टकम्	कात्यायनि महामाये खड्गबाणधनुर्धरे।	https://youtu.be/7hpt3DFGsgk?si=45BB1NayOe2rS_lH			
		खड्गधारिणि चण्डि दुर्गादेवि नमोऽस्तु ते				
	भवानी अष्टकम	न तातो न माता न बंधुर्न दाता न पुत्रो न पुत्री न भृत्यो न भर्ता	https://youtu.be/KHQGmOCP7hQ?si=L4kZDdZJP8wnbERN			
						
STUTI						
	-	दुर्गा क्षमा प्रार्थना:	https://youtu.be/3AwodovEc0k?si=9W4WxeT0tqcjxqYF			
	-	देवी स्तुति:	https://youtu.be/98tKisf10-I?si=f1PmcHWoeyC0xT7A			
	-	ब्रह्माकृत देवी स्तुति	https://youtu.be/FCbDRLU0Myo?si=IoI0iDvLF12CGPQt			
	-	शैलपुत्री स्तुति (नवदुर्गा की प्रथम स्तुति)	https://youtu.be/-F8zV3pMZA0?si=dvF2Hygp_GMOwI5C			
	-	सिद्धिदात्री स्तुति	https://youtu.be/_A4sg_F1Za4?si=ha8pQ_NJgTiJwJvV			
						
AARTI						
	-	जय अम्बे गौरी, मैया जय श्यामा गौरी (सबसे प्रसिद्ध)	https://youtu.be/-rKAOaS7Q3I?si=l89QDnB3pqc2rsJx			
	-	अम्बे तू है जगदम्बे काली, जय दुर्गे खप्पर वाली	https://youtu.be/dVTUUtOHUCA?si=Uk_2RDtvaypwtFhK			
	-	जय सरस्वती माता	https://youtu.be/TTVAyS9wOV4?si=lwrEOKvRzRWGLKkD			
	-	आरती विन्ध्येश्वरी माता की	https://youtu.be/Wa0K7gf7BUs?si=NHJofs11z4hjbs9d			
	-	आरती शीतला माता की	https://youtu.be/SVO3zWQVbIQ?si=g0bAIqtMwdXLbBew			
	-	जय वैष्णव माता आरती	https://youtu.be/7TMeGrAiYXg?si=trZ1yP_Ejvtw9smG			
	-	 माता चामुंडा देवी जी की आरती 	https://youtu.be/X6rKpVJoxaQ?si=4bKv512qTO2pl7fJ			
	-	भोर भई दिन चढ़ गया मेरी अम्बे	https://youtu.be/A4WW9ezwazc?si=8R3ZrJ_Yn27l_iQS			
						
SHLOKAS						
	-	सर्वमङ्गलमाङ्गल्ये शिवे सर्वार्थसाधिके। शरण्ये त्र्यम्बके गौरि नारायणि नमोऽस्तु ते॥	https://youtu.be/ZdBVEV5u2To?si=em-5O2iYoV9z50BF			
	-	या देवी सर्वभूतेषु शक्तिरूपेण संस्थिता। नमस्तस्यै नमस्तस्यै नमस्तस्यै नमो नमः॥	https://youtu.be/3hNchYO61N0?si=6cEKmQN6_sHFHNOp			
	-	जयन्ती मङ्गला काली भद्रकाली कपालिनी। दुर्गा क्षमा शिवा धात्री स्वाहा स्वधा नमोऽस्तु ते॥	https://youtu.be/r66ySZ7iipM?si=NEjamA32NPb6T0qz			
	-	देहि सौभाग्यमारोग्यं देहि मे परमं सुखम्। रूपं देहि जयं देहि यशो देहि द्विषो जहि॥	https://youtu.be/OKRVaXU01kI?si=_uw6ukhpng-Bgeg6			
	-	शरणागतदीनार्तपरित्राणपरायणे। सर्वस्यार्तिहरे देवि नारायणि नमोऽस्तु ते॥	https://youtu.be/O0dGIsqbMsw?si=YMDdBnbEnw14QNiR			
						
BHAJAN						
	-	तूने मुझे बुलाया शेरावालिये	https://youtu.be/kQiH4Qk63d4?si=xJ20b6pNl1tzb3WQ			
	-	चलो बुलावा आया है, माता ने बुलाया है	https://youtu.be/UIvpNrP4WQs?si=TYg6D7vN9AGO-z1B			
	-	नंगे नंगे पांव चला आ गया री मैया	https://youtu.be/2XpXPwJYoQ8?si=_vr7sS1wOceTQRuV			
	-	भेजा है बुलावा तूने शेरावालिये	https://youtu.be/Xx1Cn67LaEE?si=FGsgWDyBnyKTM23T			
	-	मैया का चोला है रंगला	https://youtu.be/IHyTxAR51Ow?si=s3YaBX3DMcnlWt3a			
	-	मन लेके आया माता रानी के भवन में	https://youtu.be/UUAJFjov7Xo?si=PVM9wcbMaKarr7VK			
	-	प्यारा सजा है तेरा द्वार भवानी	https://youtu.be/M0E506vc8r0?si=JsUayaaeFsxPeJfO			
	-	मैया तेरी जय जयकार	https://youtu.be/9w9SVujBfxo?si=AtgSefqNs0QBxKeN			
	-	लली लली लाल चुनरिया	https://youtu.be/APztwI6m1KI?si=6ZVQo_B3b2opJ6nP			
						
KATHA 						
	-	महिषासुर वध की कथा:	https://youtu.be/GM-1L-Hglnw?si=_teScPV7tR8KzYXg			
	-	शुम्भ-निशुम्भ वध की कथा	https://youtu.be/gxbN66VZYg8?si=cQSq0GNZhJhrZq7H			
	-	मधु-कैटभ वध की कथा	https://youtu.be/nfcB83GU-_A?si=zXSza_hbe-7mKa68			
	-	माता सती और 51 शक्तिपीठ की कथा	https://youtu.be/8SdAQcExa0E?si=ts9zw3Z2pRUl_coi			
	-	नवदुर्गा के 9 रूपों की कथा:	https://youtu.be/MsuWbBoSwX8?si=IFfR6QCJJe2EqkWh			
	-	वैष्णो देवी की कथा:	https://youtu.be/3H_zLywdgvE?si=eWQbQtfcA4zP25oc			
	-	रक्तबीज वध की कथा:	https://youtu.be/ApZoQJ8UK_8?si=BGN6jaJOsMmfcwqb			
	-	माता पार्वती का कठिन तप और शिव से विवाह	https://youtu.be/LUzsbfl93Q4?si=JYCRHHaA6P3eVuyU			
						
						
						
						
						
सुबह उठते ही						
	करादर्शनम्	सुबह आँख खुलते ही हथेलियों को देखकर।	कराग्रे वसते लक्ष्मी: करमध्ये सरस्वती। करमूले तु गोविन्द: प्रभाते करदर्शनम्॥	दिन की शुरुआत सकारात्मकता और समृद्धि से होती है।	https://youtu.be/UJZZyryDK00?si=rnb6ybLJ1g19xgWw	
	पृथ्वी क्षमा प्रार्थना	बिस्तर से नीचे पैर रखने से पहले।	समुद्रवसने देवि पर्वतस्तनमण्डले। विष्णुपत्नि नमस्तुभ्यं पादस्पर्शं क्षमस्वमे॥	धरती माता के प्रति सम्मान और अहंकार का नाश।	https://youtube.com/shorts/Is7xRqhvlvU?si=qARyNsuIj0WI9zTT	
	नवग्रह प्रभात मंत्र	उत्तर दिशा की ओर मुख करके।	ब्रह्मा मुरारिस्त्रिपुरान्तकारी भानु: शशी भूमिसुतो बुधश्च। गुरुश्च शुक्र: शनिराहुकेतव: कुर्वन्तु सर्वे मम सुप्रभातम॥	ग्रहों के अशुभ प्रभाव कम होते हैं और पूरा दिन मंगलमय बीतता है।	https://youtube.com/shorts/A01Ms9WILjA?si=KGdLKpQz4FqoFG9l	
	मंगल स्मरण मंत्र	भगवान का ध्यान करते हुए।	ॐ गणानां त्वा गणपतिं हवामहे कविं कवीनामुपमश्रवस्तमम्। ज्येष्ठराजं ब्रह्मणां ब्रह्मणस्पत आ न: शृण्वन्नूतिभि: सीद सादनम्॥	कार्यों में सिद्धि मिलती है।	https://youtube.com/shorts/aOHRIfSBjwY?si=zMFYh2Zdz7XqFqEC	
	पंचकन्या स्मरण	मन ही मन स्मरण करें।	अहल्या द्रौपदी सीता तारा मन्दोदरी तथा। पञ्चकं ना स्मरेन्नित्यं महापातकनाशनम्॥	पापों का नाश होता है।	https://youtube.com/shorts/r4k-aM0MJ2w?si=Qjs577cDJd79KsFl	
						
नहाने के समय						
	स्नान मंत्र	जल को स्पर्श करते हुए।	गङ्गे च यमुने चैव गोदावरि सरस्वति। नर्मदे सिन्धु कावेरि जलेऽस्मिन् संनिधिं कुरु॥	तीर्थ स्नान का फल मिलता है	https://youtu.be/psLJhxiQ85o?si=2-SNh1BWmsciWde8	
	वरुण मंत्र	पानी डालते समय।	ॐ वं वरुणाय नमः।	जल देवता की कृपा और शुद्धि।	https://youtu.be/xD_nK8TBYUQ?si=TjCJDoV0_CM_-6Xh	
						
						
नहाने के बाद						
	सूर्य अर्घ्य	सूर्य को जल देते समय।	एहि सूर्य सहस्त्रांशो तेजोराशे जगत्पते। अनुकम्पय मां भक्त्या गृहाणार्घ्यं दिवाकर॥	आत्मविश्वास, नेत्र ज्योति और तेज (Glow) बढ़ता है।	https://youtube.com/shorts/R-DMV8NHR3g?si=EIPgctHvzEgL2I5Q	
	गायत्री मंत्र	सूर्य की ओर मुख करके।	ॐ भूर्भुव: स्व: तत्सवितुर्वरेण्यं भर्गो देवस्य धीमहि धियो यो न: प्रचोदयात्॥	बुद्धि और एकाग्रता बढ़ती है।	https://youtube.com/shorts/DnPBZvI1YCg?si=2O3c1NfZk4fj_OzH	
	शिव पंचाक्षर	भस्म या तिलक लगाते समय।	ॐ नमः शिवाय।	मन शांत और शक्तिशाली होता है।	https://youtube.com/shorts/AK-fDVxDV6A?si=hJqXBNcFgGpUmF7A	
	चंदन लगाने का मंत्र	माथे पर तिलक या चन्दन लगाते समय।	ॐ चन्दनस्य महत्पुण्यं, पवित्रं पापनाशनम्। आपदां हरते नित्यं, लक्ष्मीस्तिष्ठति सर्वदा॥	मन शांत रहता है और व्यक्तित्व में आकर्षण बढ़ता है।	https://youtube.com/shorts/gzd3cfS-SIE?si=LbgxNx5RT8Dak9i3	
	तुलसी प्रार्थना	सुबह तुलसी में जल देते समय।	महाप्रसादजननी सर्वसौभाग्यवर्धिनी। आधिव्याधिहरा नित्यं तुलसी त्वं नमोऽस्तुते॥	घर में सुख-शांति रहती है और बीमारियाँ दूर होती हैं।	https://youtube.com/shorts/_fGRay5SF5k?si=NRI8iKUB1ASVK3nK	
						
भोजन से पहले						
	ब्रह्मार्पण मंत्र	थाली पर जल छिड़क कर। , भोजन शुरू करने से पहले।	ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम्। ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना॥	भोजन सात्विक ऊर्जा देता है।	https://youtu.be/CY0le0A1spY?si=FnNo2p4vCGM_2sQi	
	अन्नपूर्णा स्तुति	हाथ जोड़कर।	ॐ अन्नपूर्णे सदापूर्णे शंकरप्राणवल्लभे। ज्ञानवैराग्यसिद्ध्यर्थं भिक्षां देहि च पार्वति॥	घर में बरकत बनी रहती है।	https://youtube.com/shorts/RM8VZu4aFFA?si=hcKNCncaQbr3yGl6	
	शांति मंत्र	एक साथ बैठकर।	सह नाववतु। सह नौ भुनक्तु। सह वीर्यं करवावहै। तेजस्वि नावधीतमस्तु मा विद्विषावहै॥	आपसी प्रेम और शक्ति बढ़ती है।	https://youtu.be/iRVIbOMymj0?si=p9yfDWWAsb63wtMq	
						
भोजन के बाद						
	अगस्त्य मंत्र	खाना खाने के बाद। , पेट पर हाथ फेरते हुए।	अगस्त्यं कुम्भकर्णं च शनिं च बडवानलम्। आहार परिणामार्थं स्मरेद्भीमं च पञ्चमम्॥	पाचन शक्ति (Digestion) अच्छी होती है।		https://youtube.com/shorts/IXIA0ua2WDs?si=4cKvCmZ8Ew4lFZnq
	कृतज्ञता	अन्न का आभार मानकर।	अन्नदाता सुखी भव।	संतोष और शांति मिलती है।	https://youtu.be/RqWyAbDZkxg?si=FTezx_rtvlQGO4hP	
	चरणामृत मंत्र	भगवान का चरणामृत ग्रहण करते समय।	अकालमृत्युहरणं सर्वव्याधिविनाशनम्। विष्णोः पादोदकं पीत्वा पुनर्जन्म न विद्यते॥	स्वास्थ्य उत्तम रहता है और आध्यात्मिक उन्नति होती।	https://youtube.com/shorts/1z4ohQ5wjVQ?si=qFSjLi160P6jWR1Q	
						
पूजा के समय						
	आसन मंत्र	पूजा के आसन पर बैठने से पहले।	पृथ्वि त्वया धृता लोका देवि त्वं विष्णुना धृता। त्वं च धारय मां देवि पवित्रं कुरु चासनम्॥	पूजा का पूरा फल मिलता है	https://youtu.be/yXymIcFJVTY?si=E3QSPPbXbaayLBXy	
	दीप मंत्र	दीया जलाते समय।	शुभं करोति कल्याणमारोग्यं धनसंपदा। शत्रुबुद्धिविनाशाय दीपज्योतिर्नमोऽस्तुते॥	आरोग्य और धन मिलता है।	https://youtube.com/shorts/jBIA9Ap-VR0?si=3Gxj8KQQsu6h2icW	
	गणेश वंदना	दीपक जलाकर	वक्रतुण्ड महाकाय सूर्यकोटि समप्रभ। निर्विघ्नं कुरु मे देव सर्वकार्येषु सर्वदा॥	विघ्न दूर होते हैं।	https://youtube.com/shorts/hzQqfRM-mtA?si=whkvJBQngpHbomLh	
	गुरु वंदना	गुरु का ध्यान करके।	गुरुर्ब्रह्मा गुरुर्विष्णु: गुरुर्देवो महेश्वर:। गुरु: साक्षात् परब्रह्म तस्मै श्रीगुरवे नम:॥	अंधकार दूर होता है।	https://youtube.com/shorts/ycvqpPFyQSU?si=tJjnZm6QMTDBoMPY	
	अर्पण मंत्र	हाथ में जल लेकर छोड़ें।	कायेन वाचा मनसेन्द्रियैर्वा बुध्यात्मना वा प्रकृते: स्वभावात्। करोमि यद्यत् सकलं परस्मै नारायणायेति समर्पयामि॥	ईश्वर को समर्पण।	https://youtu.be/CAc9h7oTjrM?si=VVFbSow3YEgGraj0	
	आचमन मंत्र	पूजा शुरू करने से पहले तीन बार जल पीते समय।	ॐ केशवाय नमः, ॐ नारायणाय नमः, ॐ माधवाय नमः।	मन और अंतःकरण की शुद्धि होती है।	https://youtu.be/EeGBRq880uU?si=5C-5VPQu7MQKBmTM	
	पुष्पाञ्जलि श्लोक	जो पूजा के अंत में भगवान को फूल अर्पित करते समय पढ़ा जाता है	नानासुगन्धिपुष्पाणि यथाकालोद्भवानि च । पुष्पाञ्जलिर्मयादत्त गृहाण परमेश्वर ॥	पूजा को पूर्णता, मानसिक शांति, सकारात्मक ऊर्जा और ईश्वर की कृपा प्रदान करता है	https://youtube.com/shorts/vYcSZAYfzaM?si=x1ZVFUHW2SanoxGv	
						
पूजा के बाद						
	पूर्णमदः मंत्र	प्रणाम करते हुए।	ॐ पूर्णमद: पूर्णमिदं पूर्णात्पूर्णमुदच्यते। पूर्णस्य पूर्णमादाय पूर्णमेवावशिष्यते॥	मन में पूर्णता आती है।	https://youtube.com/shorts/l-Ky7bRU7Ys?si=O7bu3zjBGyfRjwVm	
	प्रदक्षिणा मंत्र	मंदिर या पूजा के बाद परिक्रमा करते समय।	यानि कानि च पापानि जन्मान्तरकृतानि च। तानि सर्वाणि नश्यन्तु प्रदक्षिण पदे पदे॥	पापों का क्षय होता है और मन हल्का होता है।	https://youtube.com/shorts/5fSrgIFS_EM?si=URx57pYNWGu7fTip	
						
सोने से पहले						
	हनुमान मंत्र	बिस्तर पर बैठकर।	रामस्कन्धं हनुमन्तं वैनतेयं वृकोदरम्। शयने य: स्मरेन्नित्यं दु:स्वप्नस्तस्य नश्यति॥	डरावने सपने नहीं आते।	https://youtu.be/2dv4rUhuBEg?si=uTSd8zAclqdT1YTC	
	रक्षा मंत्र	सुरक्षा की भावना के साथ।	जले रक्षतु वाराह: स्थले रक्षतु वामन:। अटव्यां नारसिंहश्च सर्वत: पातु केशव:॥	चारों ओर से सुरक्षा।	https://youtu.be/DkoN-b0YrAs?si=7Oa0wGZzVspJfpt9	
	शयन मंत्र	दाहिनी करवट लेटकर।	शांताकारं भुजगशयनं पद्मनाभं सुरेशं...	भगवान विष्णु की शरण।	https://youtube.com/shorts/W8_pcfb0Mgk?si=Nb9rTpxGI6TMzTDo	
	क्षमा याचना	दिनभर की माफ़ी मांगते हुए।	करचरण कृतं वाक्कायजं कर्मजं वा। श्रवणनयनजं वा मानसं वापराधम्। विहितमविहितं वा सर्वमेतत्क्षमस्व॥	मन शुद्ध होता है।	https://youtu.be/zM3ML2Exxlo?si=YJtOX3Gvds7hHr85	
	विष्णु स्मरण	आँखें बंद करके।	अच्युतं केशवं रामनारायणं कृष्णदामोदरं वासुदेवं हरिम्। श्रीधरं माधवं गोपिकावल्लभं जानकीनायकं रामचन्द्रं भजे॥	शांति और गहरी नींद।	https://youtube.com/shorts/G-LD7NIP8Vs?si=spLFLTo06gHTTYLv	
						
						
🧘 Peace of Mind						
🕉️ Mantras						
	मंत्र का नाम	मंत्र	लाभ	यूट्यूब लिंक		
						
	ओम चैंटिंग	ॐ	 मानसिक शांति, तनाव मुक्ति और एकाग्रता बढ़ाने का एक शक्तिशाली उपाय है।	https://youtu.be/8sYK7lm3UKg?si=KT8XY7gMP0pyZAwq		
	गायत्री मंत्र	ॐ भूर्भुवः स्वः तत्सवितुर्वरेण्यं भर्गो देवस्य धीमहि धियो यो नः प्रचोदयात्	बुद्धि और मानसिक स्पष्टता के लिए।	https://youtu.be/nwRoHC83wx0?si=f1Akd4C3BSvXNJaE		
	शांति मंत्र	सह नाववतु। सह नौ भुनक्तु। सह वीर्यं करवावहै। तेजस्वि नावधीतमस्तु मा विद्विषावहै॥	यह हमारे मन को "सहयोग" और "सद्भाव" के भाव से भरता है।	https://youtu.be/iRVIbOMymj0?si=p9yfDWWAsb63wtMq		
	महामृत्युंजय मंत्र	ॐ त्र्यम्बकं यजामहे सुगन्धिं पुष्टिवर्धनम्। उर्वारुकमिव बन्धनान्मृत्योर्मुक्षीय माऽमृतात्॥	डर और घबराहट को खत्म करने के लिए।	https://youtu.be/OV9LXGOXjgs?si=0izGm1eYkmBS0343		
	शिव मंत्र	ॐ नमः शिवाय	आत्मविश्वास और आंतरिक स्थिरता के लिए।	https://youtu.be/bc1obsjb58c?si=oQIb1G1Fx1wOJ8Gw		
	महामंत्र	हरे कृष्ण हरे कृष्ण, कृष्ण कृष्ण हरे हरे। हरे राम हरे राम, राम राम हरे हरे॥	खुशी और तनाव से मुक्ति के लिए।	https://youtu.be/Zdcth9NndEA?si=cBoFKjOpIFF2NbjP		
	गणेश मंत्र	ॐ गं गणपतये नमः	मानसिक बाधाओं को दूर करने के लिए।	https://youtu.be/Naruxgq6oMU?si=xqSFGrw15ZFcqKY-		
	सर्वेशम शांति	ॐ सर्वेषां स्वस्तिर्भवतु, ॐ सर्वेषां शान्तिर्भवतु	मन को गहरी शांति, मानसिक स्थिरता, और सकारात्मक ऊर्जा मिलती है।	https://youtu.be/uZeqfUN1JQ0?si=Lb68rZWdE5QOk92U		
	बुद्ध मंत्र	बुद्धं शरणं गच्छामि	गहरी शांति और ध्यान के लिए।	https://youtu.be/ntpeQR7K0PI?si=4_9jjQ1cbxYs7wRa		
	लोका समस्ता	लोका: समस्ता: सुखिनो भवन्तु	करुणा और मानसिक सुकून के लिए।	https://youtu.be/kEqrQNWUVR0?si=QM6gM9QnfS6W2hi6		
	सरस्वती मंत्र	ॐ ऐं सरस्वत्यै नमः	एकाग्रता और फोकस बढ़ाने के लिए।	https://youtu.be/-NqX8zOZ62w?si=DWcjvgR9t3KYkz-D		
